town,lng,lat
Albury,146.94389035464383,-36.05924979473295
Sydney,150.96421662176994,-33.84093492548487
Adelaide,138.59037489497666,-34.91478411082171
Alice Springs,133.8904481680537,-23.757220340956227
Brisbane,153.01232753722104,-27.470867894483757
Canberra,149.10962810102666,-35.30647044933601
Melbourne,145.0796616542247,-37.89163083150567
Gold Coast,153.34937253380394,-27.964859256970236
Perth,115.87176005654982,-32.03701448502617
Port Lincoln,135.86997157596295,-34.723438899832324
Armidale,151.66591017898375,-30.514023055879154
Darwin,130.93491652285442,-12.442961879057412
Uluru,131.036111,-25.345
Bundaberg,152.32310381257125,-24.889163571411938
Broome,122.22299009273597,-17.94471616050619
Cairns,145.72074424533798,-16.89784409367598
Emerald,148.16255513293666,-23.535489067150234
Gladstone,151.24505698441234,-23.865500080898418
Hobart,147.34752893885462,-42.84073656325362
Hamilton Island,148.96000115402674,-20.35512037588143
Mount Isa,139.51028537141582,-20.725828810116052
Mackay,149.17497729938276,-21.10276650980267
Newcastle,151.67704705372824,-32.950936504566535
Proserpine,148.57950462995973,-20.404344331338514
Rockhampton,150.51409523721208,-23.345708711848886
Townsville,146.74779492226992,-19.275096856846915
Coffs Harbour,153.09573947869518,-30.31230346657775
Dubbo,148.61128451276596,-32.24496946868867
Kalgoorlie,121.46064625182105,-30.759313748582972
Karratha,116.81439505723776,-20.750099138866553
Launceston,147.13714802111684,-41.43981375331563
Sunshine Coast,153.07032461788762,-26.590349463443925
Mildura,142.15343335687828,-34.193406548930895
Port Hedland,118.62445867279756,-20.35945354373153
Newman,119.73842800434461,-23.364156506188063
Port Macquarie,152.8943634379995,-31.45252727319817
Ballina,153.56334962235826,-28.859868523693407
Tamworth,150.91386250465064,-31.100130006848833
Wagga Wagga,147.3614663632429,-35.14427822178348
